1;arms_factory;2950.00;10.65;1371.00;3.07;0
1;arms_factory;2943.00;10.73;1369.00;6.09;0
1;arms_factory;2944.00;11.23;1369.00;2.47;0
1;arms_factory;2952.00;10.65;1363.00;5.13;0
1;arms_factory;2952.00;10.65;1363.00;1.52;0
1;arms_factory;2948.00;12.95;1364.00;4.54;0
1;industrial_complex;2949.00;13.12;1365.00;5.74;0
1;industrial_complex;2951.00;10.73;1357.00;3.58;0
1;industrial_complex;2952.00;10.78;1370.00;5.14;0
1;industrial_complex;2948.00;10.10;1372.00;1.52;0
1;industrial_complex;2948.00;12.95;1369.00;4.19;0
1;industrial_complex;2948.00;12.95;1369.00;2.03;0
1;air_base;2951.00;11.62;1365.00;5.05;0
1;naval_base;2953.00;9.98;1363.00;0.98;5579
1;naval_base;2942.00;9.90;1370.00;-2.60;5555
1;naval_base;2945.00;9.50;1355.00;-0.79;5579
1;bunker;2948.00;10.73;1358.00;2.04;0
1;bunker;2950.00;10.07;1372.00;4.70;0
1;bunker;2945.00;12.03;1368.00;2.54;0
1;coastal_bunker;2947.00;9.68;1373.00;-3.00;0
1;coastal_bunker;2952.00;9.73;1356.00;-0.79;0
1;coastal_bunker;2943.00;9.53;1363.00;-1.19;0
1;dockyard;2950.00;9.73;1373.00;-3.00;0
1;anti_air_building;2951.00;10.73;1357.00;2.54;0
1;anti_air_building;2945.00;9.62;1359.00;5.21;0
1;anti_air_building;2948.00;10.10;1372.00;1.59;0
1;synthetic_refinery;2948.00;10.10;1372.00;4.25;0
1;radar_station;2948.00;13.38;1365.00;2.81;0
1;rocket_site;2952.00;11.00;1365.00;3.66;0
1;nuclear_reactor;2952.00;11.00;1365.00;0.04;0
2;arms_factory;2996.00;9.73;1363.00;2.47;0
2;arms_factory;3023.00;11.48;1354.00;5.13;0
2;arms_factory;3012.00;9.55;1349.00;1.52;0
2;arms_factory;3006.00;11.32;1370.00;4.54;0
2;arms_factory;3014.00;10.85;1354.00;5.74;0
2;arms_factory;3008.00;10.50;1357.00;3.58;0
2;industrial_complex;3018.00;10.60;1352.00;5.14;0
2;industrial_complex;3000.00;9.70;1358.00;1.52;0
2;industrial_complex;2995.00;10.15;1367.00;4.19;0
2;industrial_complex;3009.00;9.70;1352.00;2.03;0
2;industrial_complex;3005.00;10.40;1366.00;5.05;0
2;industrial_complex;3015.00;11.50;1357.00;6.25;0
2;air_base;3006.00;10.45;1362.00;4.09;0
2;naval_base;3007.00;9.50;1350.00;-0.90;5656
2;naval_base;2993.00;9.50;1362.00;-0.93;5656
2;naval_base;2999.00;9.50;1356.00;-0.59;5656
2;naval_base;2986.00;9.50;1367.00;-0.90;5579
2;naval_base;3020.00;9.50;1347.00;0.17;1452
2;bunker;3015.00;12.43;1361.00;0.48;0
2;bunker;2999.00;9.70;1359.00;3.14;0
2;bunker;3023.00;11.10;1353.00;5.81;0
2;bunker;3007.00;11.73;1370.00;2.54;0
2;bunker;3013.00;11.55;1358.00;5.21;0
2;bunker;2999.00;10.28;1370.00;1.59;0
2;bunker;3009.00;11.05;1360.00;4.25;0
2;coastal_bunker;3014.00;9.50;1348.00;0.32;0
2;coastal_bunker;2997.00;9.50;1358.00;-0.93;0
2;coastal_bunker;3022.00;9.50;1346.00;0.17;0
2;coastal_bunker;3000.00;9.50;1354.00;-0.59;0
2;coastal_bunker;2990.00;9.50;1364.00;-0.90;0
2;dockyard;2990.00;9.50;1362.00;-0.93;0
